PFDITD;357.1428571380915
PFDIpi2020;113.26530612334315
KIPKosmos;100.0
PFDIpi2030;99.99999999966897
SI SICAV Securus EUR R;97.2265241615572
KFDIIDPOG;61.88235294117392
Atlair;50.0
WI Kopenh Fur;50.0
DINMSCAkDKK;50.0
SI SICAV ValueBds 2019 50/50R;50.0
PFAInvKoObl;50.0
LIOblGlobIGAK;50.0
KFSIVIEtis;50.0
DIIOAkDh;50.0
KinvLCGblEqui;50.0
DI CA Fond;50.0
Torm A Aktie;49.999999999999986
SK.Avkastning;27.693305773054583
CGS FMS R Glo. Evo. EM Bl. Deb;25.564879026963784
2,50% NYKREDIT 77S BA 2047;24.95899806176643
DIEFFKObl;24.95176762643541
SI SICAV Balance EUR R;24.905075463578303
ABI Korte;24.89854454843641
Diengflexkort;24.869412903281056
Diengflexudlo;24.865862423856985
Diengflexdkob;24.854869366691965
Diengflexakti;24.84801445484515
DIEDKOAAkDKWh;24.81681416785927
ABI Euro;24.812852346431
2,50% LRF I 2048;24.79646210910616
ABI Lange Obl;24.77865041460057
SI SICAV Procedo EUR R;24.746132936309404
DIEOGlInd;24.70924089958995
SI SICAV Procedo DKK R;24.676823609592784
ABI Mix Def.;24.58865703775563
SI SICAV Balance DKK R;24.513228790438966
Marel;24.476059354443937
JI Pen.Vak;24.451068781765244
ABI Mix Off.;24.447121969624142
ABI Mix;24.428163935308525
ABI Nordiske;24.366693673452954
NI Basis 2;24.32162370480072
JI Pen.Stabil;24.263344425268794
JI Pen.Bal;24.10631905793548
KNI.BAL.D;24.077734011958697
Balan.udb.III;24.039242980872295
Ni Aktier Ii;23.962972552328036
KNI.BAL.M;23.93323084022672
NI PF KO OB;23.923468221703008
BI Op. 70 KL;23.920977374098232
DIGLOBALPLUS;23.91295932881293
DIDKIndOb;23.896515223708366
NI Basis 3;23.78105589758002
ABI Global;23.768417427200404
NI PF VE OB;23.75611830296753
NI PF LA OB;23.72804726343585
HFNI PO FS;23.692017167049965
NI PF AK;23.668918641702476
SI MIX LR KL;23.62855728870425
NI aktier;23.468727501137984
BI Op. 50+ KL;23.4415759308986
NI Ver Obl;23.426853992169796
JI Pen.Dampet;23.372660045179288
0,00% Kommunekre Gl Akt 3 2019;23.282809303102425
NI Ko Obl Lag;23.211009213169024
NIP Eksfo;23.139052700661978
CWW Emerg.M;23.122584034927502
NI AktStrat;23.11402039728217
NI Korte Obl.;23.103180457071712
Stb.Akt.Akk.;23.101783010225123
Jyinv Obl&akt;23.024819921308325
0,00% KK EuAkt18 2018;22.965154713437055
DI Danbr MObl;22.90982692538732
DIGLOSTPICKI2;22.901204785336006
DI Engros;22.89818904057289
KNI.BAL.O;22.890243024447255
Jyinv Kor Obl;22.873356313014597
DI Engr FF;22.86975109193482
SI MIX HR KL;22.867810088143717
MLO A DKK Akk;22.814589376848552
SI MIX MR KL;22.797158989696975
Triodos Sus Mixed Fund R DIS;22.75006444424118
Konser.Udb.II;22.74331517348862
Ni Mlmla obl;22.731230170050516
Vaksto.Ud.III;22.70569942903752
SI Cumulus KL;22.667472373720248
InvestinOptMo;22.532170631112894
NI Basis1;22.524285069439063
Triodos Sus Mixed Fund R CAP;22.521438418580743
MMIUSASMA;22.520993195170398
INIOpt.Sta;22.478424355300266
0,00% Credit Suisse SPLB-007 2019;22.411376215731902
NI Basis 4;22.37828015837107
SI Kor.Obl.KL;22.36032720828673
VAIGAKKL;22.28846631543181
Triodos Renewables Eur Cl R;22.288230647439207
0,00% LAn 7008 EU EK 2018;22.275553036609345
Triodos Microfin. Fund R CAP;22.17763643468067
BI EMOBAKK KL;22.142830114093922
SI SICAV Securus DKK R;22.03047825563185
0,00% LAN 7010 Kinesisk 2018;22.022507731054937
VO HY A DK AK;21.979512146854354
Jyinv Lan Obl;21.963733552344102
SI SICAV Long Danish Bonds R;21.96066770171299
HI Verden Verden;21.922163149916415
NI GloSmlCap;21.875329358487207
AL Invest Obl;21.865643181199214
InIAktBal;21.855760544331364
ML Obl A DKK;21.83658948713834
BI KDO Akk KL;21.78444523857321
MS Inv Value;21.761285182415644
HI DK OBL;21.729843175784623
DI Danmark Afd1;21.705332553165384
Nyk.danske Ak;21.701290795378405
SIEMVVOBL KL;21.686055557382076
Triodos Microfin. Fund R DIS;21.67803777435267
NI Stb Bal;21.672848823476503
BI LaDKObl KL;21.656803369806514
SI MA KL;21.627770112105864
DKIMOA;21.626846824332134
DIKlimatre;21.60395567452213
LIAktGlobIII;21.603578472469376
DIMIXOBL;21.51759834949009
0,00% SEB AB 1A 2017;21.50840906716808
Triodos Sus Bond Fund R DIS;21.503033823909114
SI MAA KL;21.399124800165133
SI VEM KL;21.395306696873188
Di Udl Obl;21.373671789011762
Triodos Sus Pioneer Fund R CAP;21.30078093415327
INIOptLc30;21.28777390915448
Sydinv Fonde;21.283542440152186
BI DK Akt. KL;21.28168051394293
SI ML OBL KL;21.25081936494674
4,00% OSTIFTER ALM 07S;21.247638659006412
FJO A DKK AKK;21.191853635616102
BI KDO KL;21.17575958957054
Di Fonde;21.173359880850086
BI Udl.Obl.KL;21.168434363606224
SIHRL A DK AK;21.12192892328811
4,00% DANMARK 10S EA 2017;21.108816305833134
DIDANMINDEKS;21.101409350283408
HI Latin;21.04152883321527
0,00% Kommunekre Akt.usd 2017;21.03711495406469
SEBinv INV.KT;20.97265930479
SKAGENFOC A;20.938540019354686
MajPension;20.901843766714304
GEMA A DKK AK;20.894111805933115
LI Akt Glob;20.875454836543238
SKAGEN Tellus;20.865020453031242
NI Fonde;20.837116729886233
